Nº holes / Nº filaments,Diameter (mm),L/D,Filter (um),Vpump (rpm),Vext (rpm),TE1 (°C),TE2 (°C),TE3 (°C),TE4 (°C),TD(°C),PD(bar),PE(bar),VTO (m/min),VG1(m/min),VG2(m/min),VG3(m/min),VG4(m/min),Vwinder (m/min),Tg1(°C),Tg2(°C),Tg3(°C),Quench (%),Spin. F (rmp),Height (m),Count (dtex),Tenacity (g/den),Elongation (%),Sand size min (um),Sand size max (um)
72.0,0.35,4.0,60.0,15.0,46.0,260.0,270.0,280.0,290.0,295.0,39.2,50.0,1290.0,1375.0,1600.0,2123,2050,2120.0,135.0,160.0,150.0,15.0,20.0,1.1,130,2.46,20.5,0.0,0.0
72.0,0.35,4.0,60.0,15.0,46.0,260.0,270.0,280.0,290.0,295.0,39.2,50.0,1290.0,1375.0,1600.0,2123,2050,2120.0,135.0,160.0,150.0,15.0,20.0,1.1,130,2.2,22.0,0.0,0.0
72.0,0.35,4.0,60.0,15.0,41.0,260.0,270.0,280.0,290.0,295.0,29.0,50.0,1450.0,1600.0,1784.0,2118,2050,2120.0,135.0,160.0,150.0,15.0,20.0,1.1,130,2.2,21.0,0.0,0.0
72.0,0.35,4.0,178.0,21.0,41.0,250.0,265.0,265.0,270.0,265.0,64.4,65.0,850.0,1030.0,2550.0,2950,2850,2940.0,70.0,80.0,100.0,45.0,20.0,1.3,205,2.76,23.94,0.0,0.0
72.0,0.35,4.0,178.0,21.0,40.5,240.0,250.0,260.0,260.0,265.0,79.5,65.0,850.0,1030.0,2575.0,2980,2850,2945.0,70.0,85.0,100.0,45.0,18.0,1.3,205,3.02,26.17,0.0,0.0
72.0,0.35,4.0,178.0,21.0,39.0,240.0,250.0,260.0,260.0,265.0,91.6,65.0,900.0,1100.0,2700.0,2975,2850,2945.0,75.0,89.0,100.0,45.0,18.0,1.3,205,3.02,27.8,0.0,0.0
72.0,0.35,4.0,178.0,21.0,43.0,255.0,260.0,265.0,270.0,270.0,76.5,65.0,900.0,1100.0,2700.0,2975,2850,2945.0,75.0,89.0,100.0,45.0,18.0,1.3,200,2.74,32.2,0.0,0.0
72.0,0.35,4.0,178.0,21.0,44.0,255.0,260.0,265.0,270.0,270.0,82.7,65.0,900.0,1100.0,2700.0,2975,2850,2940.0,70.0,80.0,100.0,45.0,18.0,1.3,195,3.1,35.22,0.0,0.0
96.0,0.3,2.0,30.0,14.0,26.0,165.0,180.0,190.0,195.0,195.0,98.0,70.0,1301.0,1424.0,1850.0,2025,1976,2040.0,44.0,75.0,72.0,30.0,16.0,1.3,180,1.7,24.0,500.0,355.0
96.0,0.3,2.0,30.0,19.5,28.0,165.0,180.0,190.0,200.0,200.0,106.0,70.0,2100.0,2224.0,2700.0,2827,2763,2840.0,45.0,80.0,72.0,30.0,18.0,1.3,180,1.55,32.0,500.0,355.0
72.0,0.4,4.0,60.0,16.0,37.0,220.0,230.0,240.0,245.0,260.0,43.5,60.0,802.0,949.0,1951.0,2201,2083,2180.0,65.0,80.0,120.0,80.0,16.0,2.1,140,3.23,77.33,0.0,0.0
72.0,0.4,4.0,60.0,16.0,37.0,220.0,230.0,240.0,245.0,260.0,43.5,60.0,602.0,749.0,1951.0,2201,2093,2180.0,65.0,80.0,120.0,80.0,16.0,2.1,140,3.44,67.44,0.0,0.0
72.0,0.4,4.0,60.0,16.0,40.0,220.0,230.0,240.0,245.0,260.0,40.2,60.0,602.0,749.0,1951.0,2201,2083,2165.0,65.0,80.0,120.0,80.0,16.0,2.1,140,3.52,63.89,0.0,0.0
72.0,0.4,4.0,60.0,16.5,36.0,220.0,230.0,240.0,245.0,260.0,56.0,60.0,602.0,749.0,1951.0,2201,2083,2165.0,65.0,80.0,120.0,80.0,16.0,2.1,140,3.27,54.4,0.0,0.0
72.0,0.4,4.0,60.0,16.5,55.0,220.0,230.0,240.0,245.0,260.0,50.0,60.0,602.0,749.0,1951.0,2201,2083,2165.0,65.0,80.0,120.0,80.0,16.0,2.1,140,3.37,76.4,0.0,0.0
72.0,0.3,2.0,178.0,22.0,62.0,275.0,285.0,285.0,295.0,295.0,145.0,60.0,699.0,749.0,1350.0,2429,2499,2580.0,90.0,100.0,130.0,85.0,16.0,1.4,250,2.6,30.0,500.0,355.0
72.0,0.3,2.0,178.0,22.0,62.0,275.0,285.0,285.0,295.0,295.0,140.0,60.0,699.0,749.0,1500.0,2753,2665,2760.0,90.0,100.0,130.0,85.0,16.0,1.4,250,3.0,26.0,500.0,355.0
48.0,0.4,2.0,90.0,13.0,32.0,270.0,280.0,285.0,285.0,290.0,230.0,80.0,3230.0,650.0,1750.0,2152,2005,2070.0,120.0,130.0,140.0,40.0,10.0,1.6,200,3.03,38.4,500.0,355.0
48.0,0.4,2.0,90.0,12.0,45.0,270.0,275.0,280.0,285.0,285.0,230.0,80.0,2900.0,650.0,1750.0,2910,2895,2995.0,120.0,130.0,140.0,50.0,15.0,1.6,125,2.85,86.2,500.0,355.0
48.0,0.4,2.0,90.0,12.0,45.0,275.0,285.0,290.0,290.0,290.0,230.0,80.0,2900.0,650.0,1750.0,2910,2895,2995.0,120.0,130.0,140.0,50.0,15.0,1.6,125,3.08,94.44,500.0,355.0
48.0,0.4,2.0,90.0,13.0,35.0,275.0,285.0,290.0,290.0,290.0,230.0,80.0,2900.0,650.0,1750.0,2910,2895,2995.0,120.0,130.0,140.0,50.0,15.0,1.6,135,2.9,93.5,500.0,355.0
