material,PROC_N_holes_ N_filaments,PROC_Diameter(mm),PROC_L,PROC_D,PROC_Vpump(rpm),PROC_Vext(rpm),PROC_TE1(C),PROC_TE2(C),PROC_TE3(C),PROC_TE4(C),PROC_TD(C),PROC_Pd(bar),PROC_Pe(bar),PROC_VTO(m/min),PROC_VG1(m/min),PROC_VG2(m/min),PROC_VG3(m/min),PROC_VG4(m/min),PROC_Vwinder (m/min),HIDDEN_PROC_Tension,HIDDEN_PROC_TG1(C),HIDDEN_PROC_TG2(C),HIDDEN_PROC_TG3(C),HIDDEN_PROC_Quench(pc),HIDDEN_PROC_Spin(rpm),PERF_Count(dtex),PERF_Tenacity(g/den),PERF_Elongation (pc)
TPX,72,0.4,4,1,16,71,265,275,280,285,,32,,783,900,1497,2201,2171,2245,,130,160,140,,16,150,3.92,25.28
PET+3pc ZEOL AG,72,0.3,2,1,25,87,255,260,265,270,270,103,50,1800,1990,2000,2000,1980,2020,14,,,,20,24,370,0.8,215.44
LOW MELT 53001,72,0.3,2,1,15,47,225,260,265,270,275,85.4,65,800,900,2600,2950,2930,3055,21,75,85,115,30,22,145,,
LOW MELT 53001,72,0.3,2,1,20,52.8,240,260,265,270,275,102.8,65,800,900,2600,2950,2930,3055,21,70,85,115,30,22,185,2.61,34.94
PD H24,48,0.4,4,1,12,80,255,260,265,256,275,90,55,1800,1751,2001,2440,2406,2500,,,,,45,12,130,3.52,76.08
PD H24,48,0.4,4,1,12,72,250,255,265,256,275,90,55,1687,1751,2131,2440,2406,2500,,,,,45,14,125,3.41,81.72
TPX DX350,72,0.4,4,1,14,68,265,275,280,285,285,42,50,1100,1249,1751,2201,2176,2245,,180,160,140,20,18,125,3.7,23.5
ADVANITE 53001,72,0.3,2,1,21,47,250,260,265,270,270,93,65,800,980,2700,2950,2940,3050,,70,85,115,45,20,195,2.75,27.94
ADVANITE 53001,72,0.3,2,1,21,47,250,265,265,270,270,100,65,800,980,2700,2950,2940,3050,,70,80,100,45,20,195,2.94,31.17
TPX DX350,72,0.4,4,1,14,56.64,260,265,270,275,290,48.4,60.3,1100,1249,1751,2201,2176,2245,18,130,160,150,15,18,130,3.5,21.22
TPX DX350,72,0.4,4,1,14,56.64,260,265,270,275,274,48.4,60.3,1100,1249,1751,2215,2176,2245,10,130,160,150,15,18,130,3.47,23.29
SPH16,72,0.35,4,1,13,60,260,265,275,275,275,50,70,2100,2200,2550,2489,2499,2570,20,,,,15,20,155,1.5,96
SPH16,72,0.35,4,1,12.8,46,260,265,270,275,275,56.6,75,2200,2300,2450,2505,2500,2560,15,,,,15,20,145,1.53,112
SPH16,72,0.35,4,1,12.6,48.7,260,265,270,275,275,69.1,75,2200,2300,2450,2505,2500,2560,15,,,,15,20,143,1.48,114.22
SPH16,72,0.35,4,1,13.8,41.56,260,265,270,275,275,88.3,75.4,900,1100,2200,2470,2406,2490,15,60,78,115,15,20,158,2.67,40.87
PBT+15pc SPH16W,72,0.35,4,1,12,77,255,260,265,275,275,53,50,2825,2900,2926,2860,2860,2955,,,,,15,20,120,2,65
PP AMARILLAMIENTO,72,0.6,4,1,38,94.32,240,260,275,280,280,32.2,66.1,523,550,1600,1858,1820,1882,,70,135,125,60,12,330,3.72,80.8
PP AMARILLAMIENTO,72,0.6,4,1,36,94.32,240,260,275,280,280,32.2,66.1,523,550,1600,1960,1980,1980,,70,135,125,60,12,340,347,61
PP+TALCO+R070,12,0.5,4,1,21.5,56,210,210,225,230,230,125,65,750,900,1550,1960,1950,2010,,60,70,80,90,17,220,1.33,144.68
PP+TALCO+VERDE,12,0.5,4,1,21.5,54,200,210,230,230,230,170,65,750,1000,1550,1960,1950,2010,,60,70,80,90,20,220,1.28,162.83
PA+CNT PA NANOCYL,48,0.4,2,1,23,60,235,245,250,250,250,65,65,2800,2950,3000,2920,2900,3030,18,,,,30,15,200,3.14,87.39
PA+CNT PA NANOCYL,48,0.4,2,1,23,59,235,245,250,250,250,77,65,3685,2950,3000,3750,3740,3860,18,,,,30,15,165,3.4,68.11
rPET,72,0.3,2,1,24,63,270,280,290,290,290,118,60,750,800,1500,2550,2485,2560,,85,100,130,30,18,300,2.7,27
rPET,72,0.3,2,1,25,62,270,280,290,290,295,115.4,65,700,750,1500,2515,2485,2565,,85,100,130,30,18,290,2.9,27
rPET,72,0.3,2,1,25.2,63,275,285,285,285,295,115.7,60,700,750,1300,2515,2485,2565,,85,100,130,30,18,300,2.54,27.2
rPET,72,0.3,2,1,25.1,63,275,285,285,285,290,115.7,60,875,900,1300,2500,2485,2565,,85,100,130,30,18,300,2.2,43.25
