Nº holes / Nº filaments;Diameter (mm);L/D;Filter (um);Sand quantity (cm);Support;Vpump (rpm);Vext (rpm);TE1 (°C);TE2 (°C);TD(°C);PD(bar);PE(bar);VTO (m/min);VG1(m/min);VG2(m/min);Vwinder (m/min);Winder tension (N);Tg1(°C);Tg3(°C);Quench (%);Spin. F (rmp);Height (m);Count (dtex);Tenacity (g/den);Elongation (%);Sand size min (um);Sand size max (um);Material;Cluster
36.0;0.3;2.0;60.0;3.0;2.0;20.0;44.0;225.0;215.0;235.0;31.0;75.0;2600.0;2700.0;2820.0;3050.0;16.0;85.53254437869822;111.51612903225806;20.0;20.0;1.3;180;2.25;51.87;500.0;355.0;PLA LUMINY L130;cluster-1
72.0;0.3;2.0;60.0;1.0;2.0;18.0;40.0;225.0;215.0;240.0;63.0;75.0;2620.0;2750.0;2820.0;3010.0;22.0;85.53254437869822;111.51612903225806;15.0;20.0;1.3;180;2.09;43.7;250.0;180.0;PLA LUMINY L130;cluster-1
72.0;0.3;2.0;60.0;1.0;2.0;22.0;45.0;225.0;215.0;240.0;87.0;75.0;2620.0;2750.0;2820.0;3010.0;22.0;85.53254437869822;111.51612903225806;15.0;20.0;1.3;210;2.18;49.8;250.0;180.0;PLA LUMINY L130;cluster-1
72.0;0.3;2.0;60.0;1.0;2.0;24.0;48.0;225.0;215.0;245.0;125.0;75.0;2620.0;2750.0;2820.0;3010.0;22.0;85.53254437869822;111.51612903225806;15.0;20.0;1.3;230;2.22;50.43;250.0;180.0;PLA LUMINY L130;cluster-1
72.0;0.3;2.0;60.0;3.0;2.0;27.0;49.0;225.0;215.0;235.0;27.0;75.0;2620.0;2750.0;2820.0;3010.0;24.0;85.53254437869822;111.51612903225806;70.0;20.0;1.3;250;2.18;53.63;500.0;355.0;PLA LUMINY L130;cluster-1
24.0;0.3;2.0;60.0;3.0;2.0;10.0;46.8;225.0;230.0;240.0;58.0;75.0;1526.0;1600.0;2685.0;2955.0;17.035897435897436;70.0;110.0;20.0;20.0;1.3;100;2.84;27.04;500.0;350.0;PLA L130;cluster-1
24.0;0.3;2.0;60.0;3.0;2.0;8.0;49.4;225.0;230.0;240.0;49.6;75.0;1624.0;1701.0;2685.0;2955.0;17.035897435897436;70.0;110.0;20.0;18.0;1.3;79;2.92;27.5;500.0;350.0;PLA L130;cluster-1
24.0;0.3;2.0;60.0;3.0;2.0;5.0;45.6;225.0;230.0;240.0;34.8;75.0;1825.0;1900.0;2685.0;2955.0;17.035897435897436;70.0;110.0;20.0;18.0;1.3;48;2.87;24.0;500.0;350.0;PLA L130;cluster-1
72.0;0.25;2.0;60.0;2.0;2.0;13.0;65.0;250.0;250.0;260.0;61.0;80.0;2610.0;2750.0;2740.0;2780.0;21.0;85.53254437869822;111.51612903225806;40.0;22.0;1.65;135;2.72;71.78;500.0;355.0;SPH16;cluster-1
72.0;0.25;2.0;60.0;2.0;2.0;13.0;25.6;255.0;260.0;265.0;49.7;80.0;2050.0;2125.0;2150.0;2780.0;15.0;85.53254437869822;111.51612903225806;30.0;22.0;1.5;165;0.86;97.68;500.0;355.0;SPH16;cluster12
48.0;0.2;3.0133333333333336;60.0;2.5633187772925763;35.612648221343875;28.0;62.0;215.0;225.0;350.0;0.0;80.0;1149.0;1225.0;1799.0;2430.0;17.035897435897436;60.0;90.0;80.0;25.0;2.4;240;3.49;82.33;560.5744680851063;375.3404255319149;PP HS61R;cluster3
48.0;0.2;3.0133333333333336;60.0;2.5633187772925763;35.612648221343875;35.0;70.0;215.0;225.0;350.0;0.0;80.0;1149.0;1225.0;1799.0;2440.0;17.035897435897436;60.0;90.0;80.0;25.0;2.4;300;3.27;86.67;560.5744680851063;375.3404255319149;PP HS61R;cluster-1
48.0;0.2;3.0133333333333336;60.0;2.5633187772925763;35.612648221343875;28.0;73.0;215.0;225.0;350.0;0.0;80.0;1149.0;1225.0;1799.0;2440.0;17.035897435897436;60.0;90.0;80.0;25.0;2.4;240;3.58;90.49;560.5744680851063;375.3404255319149;PP HS61R;cluster3
72.0;0.35;4.0;60.0;2.0;2.0;15.0;40.0;275.0;280.0;290.0;68.5;70.0;1874.5960099750623;2690.0;2725.0;2765.0;19.0;85.53254437869822;111.51612903225806;25.0;22.0;1.3;165;2.11;121.85;500.0;355.0;PET + 15% SPH16;cluster2
72.0;0.35;4.0;60.0;2.0;2.0;12.5;42.0;275.0;280.0;290.0;56.0;70.0;1874.5960099750623;2690.0;2725.0;2765.0;19.0;85.53254437869822;111.51612903225806;25.0;22.0;1.3;130;2.22;116.94;500.0;355.0;PET + 15% SPH16;cluster4
72.0;0.35;4.0;60.0;2.0;2.0;14.5;54.0;275.0;280.0;290.0;49.0;70.0;1874.5960099750623;1200.0;1300.0;2680.0;20.0;80.0;120.0;25.0;22.0;1.3;155;2.61;68.87;500.0;355.0;PET + 15% SPH16;cluster-1
72.0;0.35;4.0;60.0;2.0;2.0;14.5;54.0;275.0;280.0;290.0;49.0;70.0;800.0;850.0;2400.0;2760.0;20.0;80.0;120.0;25.0;22.0;1.3;155;3.21;36.94;500.0;355.0;PET + 15% SPH16;cluster8
72.0;0.35;4.0;60.0;2.0;2.0;13.0;59.0;245.0;250.0;265.0;34.0;70.0;2651.0;2751.0;2751.0;2780.0;17.035897435897436;85.53254437869822;111.51612903225806;25.0;22.0;1.3;135;1.8;72.28;500.0;355.0;PBT + 15% SPH16W;cluster-1
72.0;0.35;4.0;60.0;2.0;2.0;14.0;50.0;245.0;250.0;265.0;41.0;70.0;1100.0;1249.0;2700.0;2720.0;17.035897435897436;75.0;115.0;25.0;22.0;1.3;158;3.0;22.72;500.0;355.0;PBT + 15% SPH16W;cluster-1
72.0;0.35;4.0;60.0;2.0;2.0;13.0;30.0;260.0;270.0;275.0;38.4;70.0;2680.0;2750.0;2750.0;2780.0;12.0;85.53254437869822;111.51612903225806;10.0;22.0;1.2;137;0.75;93.5;500.0;355.0;PBT + 3% Octil;cluster-1
72.0;0.35;4.0;60.0;2.0;2.0;13.0;32.0;260.0;270.0;275.0;38.4;70.0;2450.0;2525.0;2550.0;2580.0;12.0;85.53254437869822;111.51612903225806;10.0;20.0;1.2;142;0.8;90.5;500.0;355.0;PBT + 3% Octil;cluster-1
